Property Reference Number,Full Property Address,Current Property Exemption Code,Current Prop Exemption Start Date,Analysis Code,Primary Liable party name,Current Rateable Value
177504427510,"140-144, Kingston Road, Portsmouth, PO2 7PD",Empty Property Rate Non-Industrial,01-Jul-17,LT2,Sb Southern Limited,0
177509961210,"77, London Road, Portsmouth, PO2 0BH",Vacant (1st 3 months),13-Jan-22,CS,Sheet Anchor Evolve Ltd,21750
177508194610,"Service Station, 113, Victoria Road South, Southsea, Hants, PO5 2BW",RV below minimum for EPR,01-Mar-13,CW3,Sirius House Residents Association Ltd,2650
177500646310,"119 - 121, Blackfriars Road, Southsea, Hants, PO5 4NL",Empty Property Rate Non-Industrial,20-Jun-20,CW,Sleep Studios Limited,28250
177507353220,"Former Post Office, Slindon Street, Portsmouth, PO1 1AB",Empty Property Rate Non-Industrial,09-May-18,CO,Slindon Street Portsmouth Limited,0
177512839010,"Land Adjacent, South Parade Pier, South Parade, Southsea, PO4 0SP",RV below minimum for EPR,06-May-21,CW1,South Parade Pier Limited,2850
177511945810,"Unit B Central Square, 1000 Lakeside, Western Road, Portsmouth, PO6 3EN",Empty Property Rate Non-Industrial,14-Mar-21,CS,Southern Co-Operative Ltd,11250
177510179611,"Office, Unit 2.2, Central Point, Kirpal Road, Portsmouth, PO3 6FH",RV below minimum for EPR,01-Mar-21,IF4,Ssh Cleaning Ltd,1375
177501613110,"105d, Commercial Road, Portsmouth, PO1 1BQ",Liquidation,05-Oct-20,CS,Sta Travel Ltd-In Liquidation,33750
177508296910,"A5, Railway Triangle, Walton Road, Portsmouth, PO6 1TN",Empty Property Rate Non-Industrial,26-Jan-22,CW,Strathclyde Pension Fund Trustees,32750
177500014120,"Unit 2b, Shawcross Industrial Estate, Ackworth Road, Portsmouth, PO3 5JP",Vacant (1st 3 months),30-Nov-21,IF3,Suffolk Life Annuities Ltd,7500
177512324010,"Travel Money Kiosk, Tesco Store, Clement Attlee Way, Portsmouth, PO6 4SR",Empty Property Rate Non-Industrial,01-Jul-20,CX,Tesco Personal Finance Plc,5000
177512188410,"Travel Money Kiosk, Tesco Store Ltd, Fratton Way, Southsea, Hants, PO4 8SL",RV below minimum for EPR,01-Apr-20,CS4,Tesco Personal Finance Plc,2500
177506320210,"53-57, Palmerston Road, Southsea, Hants, PO5 3QE",Listed Building,06-May-21,CS,That Portsmouth Company 2 Limited,146000
177511902010,"Unit 8, Ocean Park, Burrfields Road, Portsmouth, PO3 5NP",Empty Property Rate Non-Industrial,24-Jun-20,CS,The Carphone Warehouse Ltd,42250
177501615810,"150, Commercial Road, Portsmouth, PO1 1EX",Empty Property Rate Non-Industrial,24-Jun-20,CS,The Carphone Warehouse Ltd,121000
177503814010,"27, High Street, Cosham, Portsmouth, PO6 3BT",Empty Property Rate Non-Industrial,01-May-21,CS,The Cecil Rosen Foundation,19500
177504279310,"Havanna Bar, 38, Kent Road, Southsea, Hants, PO5 3ET",Listed Building,11-Mar-16,CL,The Portland Po5 Ltd,8700
177505638110,"Unit 8, Mitchell Way, Portsmouth, PO3 5PR",Empty Property Rate Industrial,25-Jan-20,CW,Threadneedle Pensions Ltd,24750
177508075610,"Wharehouse Old Chemical Works, Twyford Avenue, Portsmouth, PO2 8QA",Empty Property Rate Industrial,01-Apr-11,CW3,Tipner Regeneration Company Limited,0
177510035410,"Unit 5, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,12250
177510035412,"Unit 6, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,3200
177510035413,"Unit 8, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,3350
177510035432,"Unit 16, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,1100
177510035433,"Unit 17, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,1975
177510035436,"Unit 14-15, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,3250
177510035438,"Unit 9, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,840
177510035439,"Unit 9a, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,840
177590112910,"Unit 7, Former Oil Depot, Twyford Avenue, Portsmouth, PO2 8QA",Land,07-Sep-10,CW1,Tipner Regeneration Company Limited,3400
177509708910,"Aerial, Site 71786, Kettering Terrace, Portsmouth, PO2 7AE",Land,23-Nov-18,MT1,T-Mobile (Uk) Ltd,4900
177512121010,"F19, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Listed Building,01-Apr-21,CO,Trafalgar Workspaces Ltd,1400
177512122610,"S18 & S19, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Listed Building,11-Oct-21,CO,Trafalgar Workspaces Ltd,740
177512122810,"S21 & S22, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Listed Building,01-Aug-21,CO,Trafalgar Workspaces Ltd,1550
177512180510,"G19, Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Listed Building,01-Apr-21,CO,Trafalgar Workspaces Ltd,990
177511639570,"Building 3, Trafalgar Wharf, Hamilton Road, Portsmouth, PO6 4PX",Empty Property Rate Industrial,09-Aug-21,IF3,Trafalgar Workspaces Ltd,102000
177511802010,"Gnd Flr, New Terminal Building, Portsmouth International Port, George Byng Way, Portsmouth, Hants, PO2 8QN",Empty Property Rate Non-Industrial,01-Nov-20,CS4,Travelex Global And Financial Services Limited,15500
177506505910,"1, The Quarterdeck, 1-2, Port Way, Portsmouth, PO6 4TP",Vacant (1st 3 months),22-Nov-21,CO,Unilever Uk Pension Fund Trustees Ltd,19000
177511981310,"Unit 3, The Trading Post, 16 - 18, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Vacant (1st 3 months),01-Nov-21,CS,Unilever Uk Pension Fund Trustees Ltd,3250
177511981810,"Unit 8, The Trading Post, 16 - 18, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Vacant (1st 3 months),01-Dec-21,CS,Unilever Uk Pension Fund Trustees Ltd,3500
177512058220,"Unit 10,11&12, The Trading Post, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Empty Property Rate Non-Industrial,14-Apr-21,CS,Unilever Uk Pension Fund Trustees Ltd,8400
177506515910,"10, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Empty Property Rate Non-Industrial,22-Nov-21,CS,Unilever Uk Pension Fund Trustees Ltd,11750
177506516310,"21, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Empty Property Rate Non-Industrial,10-Jun-21,CR,Unilever Uk Pension Fund Trustees Ltd,50000
177506516410,"26, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Empty Property Rate Non-Industrial,05-Feb-20,CS,Unilever Uk Pension Fund Trustees Ltd,12000
177506524410,"8-9, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Vacant (1st 3 months),22-Nov-21,CS,Unilever Uk Pension Fund Trustees Ltd,14000
177504976110,"373, London Road, Portsmouth, PO2 9HJ",Liquidation,16-Dec-21,CS,Vidge Enterprises Limited-In Liquidation,13750
177509782910,"Resource Centre, Montgomerie Road, Southsea, Hants, PO5 1EB",Empty Property Rate Charitable,21-Jul-20,CO,Vivid Housing Limited,5400
177503821410,"81, High Street, Cosham, Portsmouth, PO6 3BL",Empty Property Rate Non-Industrial,15-Jan-22,CS,Westmoor Properties Limited,15500
177500269010,"Anchorage Fish & Chips, Unit 1, Anchorage Road, Portsmouth, PO3 5UH",Empty Property Rate Non-Industrial,30-Sep-21,CS,Wm Morrison Supermarkets Plc,17750
177512444110,"Eat, 141-142 Commercial Road, Charles Dickens, Portsmouth, PO1 1ET",Empty Property Rate Non-Industrial,30-Apr-21,CR1,Xanadu Limited,28750
177507353310,"Public Car Park, Slindon Street, Portsmouth, ",Land,31-Jan-21,CP,Xanadu Limited,106000
177512311110,"R/O 68, Albert Road, Southsea, Hants, PO5 2SL",RV below minimum for EPR,01-Apr-16,CW3,Zionstone Properties Limited,0
